GEOID20,assignment
25009000046,0
25009000992,0
25009000995,0
25009000991,0
25009000993,0
25009000051,0
25009000047,0
25009000053,0
25009000045,0
25009000994,0
25009000048,0
25025000804,1
25025000709,1
25025001203,1
25025001101,1
25025001906,1
25025000805,1
25025000710,1
25025001302,1
25025000803,1
25025001006,1
25025001108,1
25025001104,1
25025001106,1
25025000905,1
25025001904,1
25025001102,1
25025000806,1
25025001110,1
25025001905,1
25025001109,1
25025001201,1
25025001007,1
25025002073,2
25009001103,2
25025001600,2
25009001107,2
25009001106,2
25025002074,2
25025001596,2
25025001592,2
25025016020,2
25009001650,2
25009001278,2
25025016010,2
25025001589,2
25013000025,3
25013000021,3
25013000023,3
25013000022,3
25013001997,3
25013000020,3
25013001976,3
25013000027,3
25013001990,3
25013001037,3
25013001038,3
25013001978,3
25013001977,3
25017001026,4
25017000557,4
25017000514,4
25017000517,4
25017000125,4
25017001028,4
25017000167,4
25017000162,4
25017000168,4
25017001027,4
25017001029,4
25005001398,5
25005001403,5
25005001396,5
25005001397,5
25005001401,5
25005001399,5
25005001400,5
25005000091,5
25005000095,5
25021001511,5
25021001512,5
25021001510,5
25017001906,6
25017001913,6
25017001023,6
25017001348,6
25017001912,6
25017001911,6
25017001936,6
25017001916,6
25017001910,6
25017001908,6
25017001909,6
25017001943,6
25017001915,6
25027002096,7
25027002097,7
25027002100,7
25027002126,7
25027002136,7
25027002133,7
25027002107,7
25027002098,7
25027002113,7
25027002099,7
25003000122,8
25003002070,8
25003000629,8
25003000708,8
25015000594,8
25013000593,8
25003000846,8
25003001659,8
25015000628,8
25003000849,8
25015000836,8
25003000915,8
25003000848,8
25003000999,8
25003001004,8
25003001275,8
25003001277,8
25015001236,8
25003001338,8
25015001509,8
25003001502,8
25003001675,8
25003001803,8
25003001882,8
25003001934,8
25023001664,9
25023001662,9
25023000909,9
25023001162,9
25023000959,9
25023000958,9
25023ZZZZZZ,9
25023001519,9
25023001165,9
25023001518,9
25023001663,9
25023001665,9
25023001661,9
25013000603,10
25013002045,10
25013000602,10
25013001793,10
25013001799,10
25013001769,10
25013001776,10
25013001796,10
25013001770,10
25013001795,10
25013001797,10
25013001768,10
25013001773,10
25013001798,10
25013001800,10
25013001794,10
25013001771,10
25017001283,11
25017001289,11
25017001284,11
25021001956,11
25021001958,11
25017001281,11
25021001957,11
25021001961,11
25021001962,11
25021001963,11
25017001287,11
25017001288,11
25017001151,12
25017001156,12
25017001157,12
25017001154,12
25027001426,12
25017001148,12
25027001425,12
25017001150,12
25027001723,12
25027001722,12
25027001724,12
25017000795,12
25017000797,12
25009000158,13
25009000631,13
25009000634,13
25009000710,13
25009000869,13
25009000636,13
25009000635,13
25009001132,13
25009000868,13
25009000867,13
25009000834,13
25009000961,13
25009001966,13
25025001713,14
25025001709,14
25025001711,14
25025001604,14
25025001609,14
25025001611,14
25025001712,14
25025001801,14
25025001804,14
25025001606,14
25025001805,14
25025001704,14
25025001714,14
25021001257,14
25025001710,14
25021001256,14
25025001603,14
25025001612,14
25021001262,14
25025001608,14
25017001046,15
25017001059,15
25017001061,15
25017001052,15
25017001060,15
25017001066,15
25017001065,15
25017001067,15
25017001054,15
25017001058,15
25017001051,15
25017001050,15
25009001628,16
25009001468,16
25009001635,16
25009001469,16
25009001634,16
25009001631,16
25009001633,16
25009001471,16
25009001636,16
25009001629,16
25009001626,16
25009001627,16
25009001632,16
25009001630,16
25009001347,17
25009001343,17
25009001346,17
25009001345,17
25009001344,17
25009000031,17
25009000033,17
25009000029,17
25009000034,17
25009000030,17
25009000032,17
25009001639,17
25009001640,17
25009001216,17
25009001641,17
25013000938,18
25013000596,18
25013000600,18
25013000935,18
25013000940,18
25013000931,18
25013000930,18
25013000609,18
25013000595,18
25013000608,18
25013000932,18
25013000939,18
25013000933,18
25013000607,18
25013000934,18
25013000937,18
25021002033,19
25021001532,19
25021001535,19
25023000910,19
25021002037,19
25021001536,19
25023000957,19
25021002034,19
25021002032,19
25021002022,19
25021002036,19
25021002038,19
25021001534,19
25017001373,20
25025002114,20
25017001354,20
25017001375,20
25017001353,20
25025002116,20
25017001371,20
25025002115,20
25025002208,20
25021000498,20
25025002113,20
25017001355,20
25025002209,20
25017001349,20
25017001374,20
25017000142,21
25017000136,21
25017001938,21
25017000143,21
25017001937,21
25017000139,21
25017000140,21
25017001940,21
25017001944,21
25017001939,21
25017001941,21
25017001946,21
25017000138,21
25017000141,21
25017001945,21
25023000874,22
25023000872,22
25023002044,22
25023000002,22
25023001439,22
25023001612,22
25023001484,22
25023001613,22
25023001611,22
25023000875,22
25023001608,22
25023001610,22
25023000873,22
25027002093,23
25027002094,23
25027002140,23
25027002102,23
25027002101,23
25027002138,23
25027002137,23
25027002095,23
25027002092,23
25027002103,23
25027002091,23
25025001595,24
25025001598,24
25025001599,24
25025001590,24
25025016040,24
25025000584,24
25025000585,24
25025001594,24
25025016030,24
25025001591,24
25025001593,24
25009001651,24
25025016050,24
25025001597,24
25005001690,25
25005000754,25
25005000744,25
25005000749,25
25005000751,25
25005000742,25
25005000752,25
25005000743,25
25005000753,25
25005000748,25
25005000746,25
25005000747,25
25005000750,25
25023000482,26
25023000001,26
25023000469,26
25023000485,26
25023000490,26
25023000484,26
25023000488,26
25023000486,26
25023001609,26
25023000005,26
25023000004,26
25023000003,26
25005000701,27
25005000702,27
25023000476,27
25023000475,27
25023000468,27
25023000467,27
25023000474,27
25023000466,27
25021001813,27
25023000491,27
25021001812,27
25023000473,27
25027002121,28
25027002106,28
25027002112,28
25027002108,28
25027002104,28
25027002111,28
25027002116,28
25027002110,28
25027002114,28
25027002109,28
25017000796,29
25017001826,29
25017000800,29
25017000793,29
25017000794,29
25017001947,29
25017001949,29
25017001948,29
25017001950,29
25017001286,29
25017000783,29
25013001268,30
25013001266,30
25013000870,30
25013001267,30
25015000128,30
25013001461,30
25015000127,30
25013001462,30
25013001460,30
25013001463,30
25011001339,30
25011001452,30
25011001453,30
25011000709,30
25011001965,30
25025000403,31
25025000404,31
25025000901,31
25025000903,31
25025000402,31
25025000902,31
25025000407,31
25025000405,31
25025000406,31
25025000401,31
25025000802,31
25025000408,31
25009001393,32
25009001389,32
25009000977,32
25009000996,32
25009000998,32
25009001223,32
25009001219,32
25009001227,32
25009001221,32
25009001391,32
25009001388,32
25005000729,33
25005000740,33
25005000741,33
25005000730,33
25005000745,33
25005000735,33
25005000733,33
25005000732,33
25005000737,33
25005000738,33
25005000734,33
25005000731,33
25005000739,33
25023002041,34
25023000471,34
25023000483,34
25023000477,34
25023000481,34
25023000470,34
25023000465,34
25023000479,34
25023000480,34
25023000478,34
